Date;ProdTulips;SoldTulips;WholesaleTulips;mean_temp;mean_humid;mean_prec_height_mm;total_prec_height_mm;mean_prec_flag;total_prec_flag;mean_sun_dur_min;total_sun_dur_h;public_holiday;school_holiday
07.02.2020;448;428;850;-0,333333333;84,5;0;0;0;False;6,888888889;2,755555556;no;no
08.02.2020;220;190;0;-0,6875;82,95833333;0;0;0;False;21,27777778;8,511111111;no;no
09.02.2020;303;0;0;6,25;66,70833333;0;0;0,083333333;True;18;7,2;no;no
10.02.2020;863;145;0;8,6875;68,41666667;0,704166667;16,9;0,875;True;10,83333333;4,333333333;no;no
11.02.2020;590;74;677;4,491666667;66,5;0,170833333;4,1;0,708333333;True;10,66666667;4,266666667;no;no
12.02.2020;648;86;180;2,983333333;74,79166667;0,1;2,4;0,458333333;True;6,222222222;2,488888889;no;no
13.02.2020;531;305;1100;2,1625;88,125;0,370833333;8,9;0,416666667;True;0;0;no;no
14.02.2020;406;404;0;5,4375;86,33333333;0,145833333;3,5;0,666666667;True;0,611111111;0,244444444;no;no
15.02.2020;393;125;0;5,854166667;79,58333333;0;0;0;False;22,38888889;8,955555556;no;no
16.02.2020;128;0;0;10,42083333;55,625;0,004166667;0,1;0,166666667;True;0,5;0,2;no;no
17.02.2020;790;162;150;8,504166667;80,45833333;0,270833333;6,5;0,541666667;True;0;0;no;no
18.02.2020;823;122;590;6,625;66,70833333;0;0;0,333333333;True;4,166666667;1,666666667;no;no
19.02.2020;612;318;0;4,766666667;70,45833333;0,05;1,2;0,5;True;5,5;2,2;no;no
20.02.2020;517;126;0;4,970833333;76,125;0,008333333;0,2;0,416666667;True;0;0;no;no
21.02.2020;332;250;1130;5,7125;63,875;0,095833333;2,3;0,291666667;True;14,05555556;5,622222222;no;no
22.02.2020;520;130;0;7,554166667;57,5;0;0;0,083333333;True;15,5;6,2;no;no
23.02.2020;350;0;0;10,4625;75,16666667;0,0875;2,1;0,708333333;True;0;0;no;no
24.02.2020;534;148;100;5,925;79,75;0,083333333;2;0,25;True;0;0;no;winterferien
25.02.2020;456;166;60;7,608333333;82,79166667;0,245833333;5,9;0,708333333;True;0;0;no;winterferien
26.02.2020;456;166;60;3,529166667;76;0,008333333;0,2;0,708333333;True;1,944444444;0,777777778;no;winterferien
27.02.2020;320;199;660;2,570833333;78,375;0,5125;12,3;0,5;True;0;0;no;winterferien
28.02.2020;634;349;200;2,445833333;76,375;0;0;0,333333333;True;9,944444444;3,977777778;no;winterferien
29.02.2020;437;287;0;6,304166667;76,625;0,179166667;4,3;0,458333333;True;8,555555556;3,422222222;no;winterferien
01.03.2020;755;0;0;7,366666667;72,5;0,0375;0,9;0,291666667;True;12,72222222;5,088888889;no;no
02.03.2020;777;180;100;6,9125;64,54166667;0,004166667;0,1;0,375;True;20,72222222;8,288888889;no;no
03.03.2020;210;212;610;4,2375;77,83333333;0,095833333;2,3;0,625;True;3,333333333;1,333333333;no;no
04.03.2020;612;133;100;1,7;85,5;0;0;0,166666667;True;4,444444444;1,777777778;no;no
05.03.2020;456;126;100;3,670833333;82,83333333;0,325;7,8;0,375;True;4,5;1,8;no;no
06.03.2020;0;0;0;5,866666667;81,75;0,045833333;1,1;0,875;True;0;0;no;no
07.03.2020;315;342;300;4,308333333;77,83333333;0,0625;1,5;0,375;True;0,222222222;0,088888889;no;no
08.03.2020;0;40;0;4,954166667;73,45833333;0;0;0,125;True;4,222222222;1,688888889;no;no
09.03.2020;440;210;190;5,9375;79,875;0,091666667;2,2;0,541666667;True;8;3,2;no;no
10.03.2020;225;139;490;5,529166667;89,58333333;0,504166667;12,1;0,75;True;0;0;no;no
11.03.2020;731;143;0;12,30833333;80,125;0,054166667;1,3;0,916666667;True;0;0;no;no
12.03.2020;629;195;0;11,2625;68,58333333;0,025;0,6;0,541666667;True;3,111111111;1,244444444;no;no
13.03.2020;400;211;960;6,129166667;62,83333333;0;0;0;False;10,11111111;4,044444444;no;no
14.03.2020;766;207;0;3,320833333;78,25;0,004166667;0,1;0,125;True;13,94444444;5,577777778;no;no
15.03.2020;230;0;0;4,354166667;64,625;0;0;0;False;35,27777778;14,11111111;no;no
16.03.2020;520;160;0;7,4625;65,79166667;0;0;0,041666667;True;35,22222222;14,08888889;no;no
17.03.2020;350;120;0;9,779166667;74,70833333;0;0;0,083333333;True;7,055555556;2,822222222;no;no
18.03.2020;310;88;0;8,158333333;78,66666667;0;0;0;False;18,16666667;7,266666667;no;no
19.03.2020;;;;10,37916667;74,66666667;0;0;0;False;19,66666667;7,866666667;no;no
20.03.2020;373;227;360;8,370833333;80,83333333;0;0;0,166666667;True;2,777777778;1,111111111;no;no
21.03.2020;170;50;300;4,966666667;62,04166667;0;0;0,208333333;True;0;0;no;no
22.03.2020;450;0;0;2,554166667;43,29166667;0;0;0;False;37,38888889;14,95555556;no;no
23.03.2020;690;0;0;0,608333333;45,66666667;0;0;0;False;37,5;15;no;no
24.03.2020;242;210;180;1,25;42,5;0;0;0;False;37,88888889;15,15555556;no;no
25.03.2020;525;127;140;2,308333333;42,20833333;0;0;0;False;38,11111111;15,24444444;no;no
26.03.2020;450;115;160;5,070833333;48,25;0;0;0;False;19,88888889;7,955555556;no;no
27.03.2020;480;220;230;10,2375;47,58333333;0;0;0;False;37,27777778;14,91111111;no;no
28.03.2020;824;333;400;8,620833333;56,125;0;0;0;False;38,05555556;15,22222222;no;no
29.03.2020;292;0;0;3,683333333;69,33333333;0,008333333;0,2;0,416666667;True;0,444444444;0,177777778;no;no
30.03.2020;600;186;190;1,883333333;45,41666667;0;0;0;False;36,88888889;14,75555556;no;no
31.03.2020;490;80;160;1,1375;57,5;0;0;0,083333333;True;20,5;8,2;no;no
01.04.2020;430;170;200;0,616666667;51,29166667;0;0;0;False;39,72222222;15,88888889;no;no
02.04.2020;210;130;450;3,025;49,95833333;0;0;0;False;39,88888889;15,95555556;no;no
03.04.2020;540;261;540;3,783333333;67,75;0;0;0,166666667;True;2,277777778;0,911111111;no;no
04.04.2020;480;250;100;5,741666667;63,125;0;0;0;False;36,27777778;14,51111111;no;no
05.04.2020;410;0;0;9,0625;50,625;0;0;0;False;40,66666667;16,26666667;no;no
06.04.2020;320;197;40;9,741666667;51,29166667;0;0;0;False;40,22222222;16,08888889;no;osterferien
07.04.2020;80;337;0;12,62083333;51,66666667;0;0;0;False;40,83333333;16,33333333;no;osterferien
08.04.2020;60;193;0;12,8875;48,70833333;0;0;0;False;41,11111111;16,44444444;no;osterferien
09.04.2020;44;80;0;11,7375;53,20833333;0;0;0;False;35,05555556;14,02222222;no;osterferien
10.04.2020;;;;13,37083333;54,83333333;0;0;0;False;41,22222222;16,48888889;Karfreitag;osterferien
11.04.2020;;;;11,45;51,41666667;0;0;0;False;41,44444444;16,57777778;no;osterferien
12.04.2020;;;;12,78333333;53,625;0;0;0,208333333;True;29,38888889;11,75555556;no;osterferien
13.04.2020;;;;8,516666667;67,375;0,133333333;3,2;0,166666667;True;18,83333333;7,533333333;Ostermontag;osterferien
14.04.2020;;;;2,954166667;58,91666667;0;0;0;False;33,88888889;13,55555556;no;osterferien
15.04.2020;;;;5,916666667;60,25;0;0;0;False;37,5;15;no;osterferien
16.04.2020;;;;10,98333333;55,04166667;0;0;0;False;41,44444444;16,57777778;no;osterferien
17.04.2020;;;;14,15;55,91666667;0;0;0;False;36,55555556;14,62222222;no;osterferien
18.04.2020;;;;13,9875;66,95833333;0,166666667;4;0,333333333;True;14,72222222;5,888888889;no;osterferien
19.04.2020;;;;12,84583333;65,75;0;0;0;False;18,44444444;7,377777778;no;osterferien
20.04.2020;;;;12,11666667;35,95833333;0;0;0;False;43,44444444;17,37777778;no;no
21.04.2020;;;;13,90833333;32,875;0;0;0;False;43,55555556;17,42222222;no;no
22.04.2020;;;;14,9625;32,66666667;0;0;0;False;43,61111111;17,44444444;no;no
23.04.2020;;;;12,01666667;51,29166667;0;0;0;False;43,72222222;17,48888889;no;no
24.04.2020;;;;11,35416667;59,79166667;0;0;0;False;33,22222222;13,28888889;no;no
25.04.2020;;;;9,4125;58,95833333;0;0;0;False;43,44444444;17,37777778;no;no
26.04.2020;184;0;0;9,2125;57,41666667;0;0;0;False;44,11111111;17,64444444;no;no
27.04.2020;79;75;0;11,19166667;60,91666667;0;0;0;False;35,88888889;14,35555556;no;no
28.04.2020;142;175;0;11,63333333;78,33333333;0,0125;0,3;0,25;True;7,055555556;2,822222222;no;no
29.04.2020;185;173;0;12,24166667;74,25;0,0125;0,3;0,291666667;True;15,38888889;6,155555556;no;no
30.04.2020;221;127;0;11,75833333;79,66666667;0,0875;2,1;0,541666667;True;0,111111111;0,044444444;no;no
01.05.2020;83;0;0;10,1875;77,54166667;0,041666667;1;0,375;True;11,77777778;4,711111111;Erster Mai;no
02.05.2020;100;180;0;8,2375;77,04166667;0,05;1,2;0,291666667;True;21,66666667;8,666666667;no;no
03.05.2020;89;0;0;9,891666667;71,04166667;0;0;0,125;True;23,72222222;9,488888889;no;no
04.05.2020;69;123;0;10,8875;76,66666667;0,129166667;3,1;0,208333333;True;8,888888889;3,555555556;no;no
05.05.2020;41;55;0;7,854166667;65,58333333;0;0;0;False;29,44444444;11,77777778;no;no
06.05.2020;76;55;0;7,058333333;63,875;0;0;0;False;30,77777778;12,31111111;no;no
07.05.2020;60;78;0;10,20833333;60,16666667;0;0;0;False;45,83333333;18,33333333;no;no
08.05.2020;53;53;0;14,1875;59;0;0;0;False;35,83333333;14,33333333;no;no
09.05.2020;98;98;0;14,60416667;69,5;0,0125;0,3;0,333333333;True;6,444444444;2,577777778;no;no
10.05.2020;186;186;0;16,5375;76,54166667;0;0;0,208333333;True;11,83333333;4,733333333;no;no
11.05.2020;195;108;0;8,291666667;87,08333333;0,891666667;21,4;0,5;True;0;0;no;no
